District,Disctrict Id
Bilaspur,219
Chamba,214
Hamirpur,217
Kangra,213
Kinnaur,216
Kullu,211
Lahaul Spiti,210
Mandi,215
Shimla,208
Sirmaur,212
Solan,209
Una,218
