District,Disctrict Id
Baksa,46
Barpeta,47
Biswanath,765
Bongaigaon,57
Cachar,66
Charaideo,766
Chirang,58
Darrang,48
Dhemaji,62
Dhubri,59
Dibrugarh,43
Dima Hasao,67
Goalpara,60
Golaghat,53
Hailakandi,68
Hojai,764
Jorhat,54
Kamrup Metropolitan,49
Kamrup Rural,50
Karbi-Anglong,51
Karimganj,69
Kokrajhar,61
Lakhimpur,63
Majuli,767
Morigaon,55
Nagaon,56
Nalbari,52
Sivasagar,44
Sonitpur,64
South Salmara Mankachar,768
Tinsukia,45
Udalguri,65
West Karbi Anglong,769
